iter	RMSE
0	9.605354854
1	9.199218623
2	8.793713118
3	8.459225216
4	8.080170137
5	7.734803826
6	7.4155929
7	7.101158601
8	6.809326382
9	6.540618992
10	6.269430691
11	6.026781408
12	5.797425705
13	5.586676799
14	5.363883409
15	5.151779009
16	4.948503371
17	4.761302172
18	4.570023826
19	4.391242252
20	4.238471912
21	4.068328807
22	3.93041852
23	3.794225755
24	3.655726949
25	3.520903038
26	3.390738726
27	3.280927033
28	3.164446417
29	3.056933711
30	2.951574194
31	2.844503606
32	2.736409621
33	2.645268676
34	2.570923834
35	2.486673206
36	2.416631525
37	2.336845231
38	2.25762361
39	2.196500589
40	2.130749578
41	2.056234722
42	1.995291997
43	1.941536283
44	1.872071239
45	1.826849663
46	1.772774638
47	1.714043374
48	1.663522168
49	1.617999719
50	1.571560412
51	1.523329447
52	1.47764439
53	1.445056481
54	1.399595935
55	1.362301581
56	1.333296551
57	1.290842692
58	1.251351568
59	1.216101306
60	1.183574751
61	1.15340661
62	1.122544909
63	1.091055908
64	1.061619089
65	1.040450565
66	1.017082213
67	0.9939709851
68	0.967506315
69	0.9502055009
70	0.9242141566
71	0.90263125
72	0.8817525196
73	0.8661350765
74	0.847805705
75	0.8281440613
76	0.8069959494
77	0.7876150794
78	0.771099313
79	0.7573497885
80	0.7412617187
81	0.7290215489
82	0.7161694137
83	0.7047344131
84	0.6971334403
85	0.6836076452
86	0.6696967512
87	0.6614373515
88	0.6506915643
89	0.6394435715
90	0.630339728
91	0.6210996992
92	0.6142041528
93	0.6089655599
94	0.6047870356
95	0.5963157108
96	0.5894587858
97	0.583687395
98	0.5750279464
99	0.571925287
100	0.5655427239
101	0.5624101707
102	0.5566228873
103	0.5509857165
104	0.5469084641
105	0.5431060726
106	0.5394866341
107	0.5334430107
108	0.5276938015
109	0.5234166439
110	0.5206243617
111	0.5172215727
112	0.5141243171
113	0.5116548362
114	0.506933184
115	0.503327259
116	0.4986412042
117	0.4962625097
118	0.4938552507
119	0.4911644409
120	0.487559748
121	0.4854117059
122	0.4826344006
123	0.4801783558
124	0.4770422594
125	0.4749284043
126	0.4734000152
127	0.4706755807
128	0.4684684771
129	0.4665516617
130	0.4643114384
131	0.4623362996
132	0.4605846324
133	0.4579632223
134	0.4561354081
135	0.4539827846
136	0.451172871
137	0.4488267325
138	0.4467669441
139	0.4447125856
140	0.4432175282
141	0.4412541282
142	0.4397793062
143	0.4382901163
144	0.4365284628
145	0.4342883949
146	0.4328263663
147	0.431124434
148	0.4294191624
149	0.4277270383
150	0.4256357207
151	0.4239170102
152	0.4215887703
153	0.4204311496
154	0.4185690369
155	0.4162963702
156	0.4149135
157	0.4125515637
158	0.4112773119
159	0.4096400177
160	0.4078551609
161	0.406280228
162	0.403042023
163	0.4019318284
164	0.4008025559
165	0.3985308612
166	0.3974648848
167	0.3952415369
168	0.3937987511
169	0.3929506495
170	0.3917765789
171	0.3906341784
172	0.3896414647
173	0.3884313139
174	0.386990563
175	0.3854911526
176	0.3825075617
177	0.3808045035
178	0.3799763853
179	0.3786904267
180	0.3778671898
181	0.3760687228
182	0.3746028772
183	0.3714177813
184	0.3701653416
185	0.3693363828
186	0.3681664604
187	0.3670744112
188	0.3660547616
189	0.3643773421
190	0.3630673901
191	0.3621206205
192	0.3602029226
193	0.3588157339
194	0.3578905775
195	0.3568090055
196	0.3556340601
197	0.3543449448
198	0.3533160778
199	0.351864626
200	0.3504920469
201	0.3484494808
202	0.34720054
203	0.3455811192
204	0.3445478077
205	0.3432937387
206	0.3425230949
207	0.3414989827
208	0.3401897777
209	0.3389848305
210	0.3377850368
211	0.3366577812
212	0.3355330936
213	0.3343362131
214	0.3331374539
215	0.3319718072
216	0.3308592007
217	0.3298298509
218	0.3285484742
219	0.3275207855
220	0.3264844075
221	0.3255274349
222	0.3244426151
223	0.3230383604
224	0.3221261244
225	0.3210457493
226	0.3201366617
227	0.319311293
228	0.3183678213
229	0.317308546
230	0.3163716983
231	0.3151937659
232	0.314729856
233	0.3142062454
234	0.3133985438
235	0.3127358853
236	0.3118187002
237	0.310549799
238	0.3098606501
239	0.3088450317
240	0.3080236346
241	0.3072221765
242	0.3064885946
243	0.3056353186
244	0.3047976743
245	0.3040118602
246	0.3034495898
247	0.3027833164
248	0.3020457807
249	0.3013712033
250	0.3007717938
251	0.2998226105
252	0.2987335866
253	0.2981428318
254	0.2976722086
255	0.2968305059
256	0.2963267824
257	0.29556458
258	0.2946956787
259	0.2940033858
260	0.2931539763
261	0.2924036189
262	0.2918653447
263	0.2912051135
264	0.290549359
265	0.2896950986
266	0.2887284746
267	0.2880531562
268	0.2874178313
269	0.2866533633
270	0.2860595807
271	0.2854953634
272	0.2849208453
273	0.2844318535
274	0.2837843286
275	0.2832240488
276	0.2826897507
277	0.282183373
278	0.2814278626
279	0.2805595051
280	0.279898485
281	0.2790943506
282	0.2783262312
283	0.2777044133
284	0.2771619339
285	0.2764659933
286	0.2756394141
287	0.2751641558
288	0.2745963197
289	0.2740831951
290	0.273454839
291	0.2729822314
292	0.2723117666
293	0.2718018325
294	0.2712893664
295	0.2708160844
296	0.2700959954
297	0.2689318823
298	0.267904279
299	0.2673179252
300	0.26683732
301	0.2662159081
302	0.2655550081
303	0.2647483548
304	0.2640569822
305	0.2636808557
306	0.2631748377
307	0.2623584729
308	0.261768111
309	0.2612694958
310	0.2607575942
311	0.2601215526
312	0.2596977317
313	0.2591218841
314	0.2585393857
315	0.257807737
316	0.2571289677
317	0.2565446699
318	0.2560038595
319	0.2551652701
320	0.2545786988
321	0.2538739357
322	0.253413248
323	0.2533089945
324	0.2528543694
325	0.2522683449
326	0.251873681
327	0.2512767535
328	0.2506021565
329	0.2500908576
330	0.2495416299
