iter	Passed	Remaining
0	0	430
1	1	374
2	1	318
3	2	269
4	2	262
5	2	236
6	3	235
7	3	225
8	4	225
9	4	218
10	4	215
11	5	207
12	5	203
13	5	204
14	6	197
15	6	198
16	6	194
17	7	195
18	7	191
19	8	192
20	8	193
21	8	194
22	9	191
23	9	195
24	10	199
25	11	201
26	11	199
27	11	201
28	12	203
29	13	204
30	13	204
31	13	204
32	14	203
33	14	203
34	15	203
35	15	203
36	16	203
37	16	203
38	17	202
39	17	202
40	18	201
41	18	201
42	18	201
43	19	199
44	19	198
45	19	197
46	20	196
47	20	196
48	21	196
49	21	196
50	22	194
51	22	192
52	22	192
53	23	192
54	23	193
55	24	193
56	24	193
57	25	193
58	25	192
59	26	192
60	26	193
61	27	193
62	27	192
63	28	192
64	28	191
65	29	191
66	29	191
67	30	190
68	30	190
69	30	190
70	31	188
71	31	187
72	31	186
73	32	186
74	32	186
75	33	185
76	33	185
77	34	185
78	34	184
79	35	184
80	35	184
81	36	183
82	36	183
83	36	183
84	37	184
85	38	184
86	38	184
87	39	184
88	39	183
89	40	183
90	40	183
91	41	183
92	41	182
93	42	182
94	42	182
95	43	181
96	43	181
97	44	180
98	44	180
99	45	180
100	45	179
101	45	179
102	46	178
103	46	178
104	47	177
105	47	177
106	48	176
107	48	176
108	49	176
109	49	175
110	50	175
111	50	175
112	51	175
113	51	175
114	52	175
115	52	174
116	53	174
117	53	173
118	54	173
119	54	173
120	55	172
121	55	172
122	56	172
123	56	172
124	57	171
125	57	171
126	58	170
127	58	170
128	59	169
129	59	169
130	60	169
131	60	168
132	60	167
133	61	167
134	61	166
135	62	166
136	62	166
137	63	165
138	63	165
139	64	164
140	64	164
141	65	164
142	65	164
143	66	164
144	67	164
145	68	166
146	69	166
147	69	165
148	70	165
149	70	165
150	71	164
151	71	164
152	72	163
153	72	163
154	73	162
155	73	162
156	74	162
157	74	161
158	75	161
159	75	160
160	76	160
161	76	159
162	77	159
163	77	158
164	78	158
165	78	157
166	79	157
167	79	157
168	79	156
169	80	156
170	80	155
171	81	155
172	81	154
173	82	154
174	82	153
175	83	153
176	83	152
177	84	152
178	84	151
179	85	151
180	85	151
181	86	150
182	86	150
183	87	150
184	87	149
185	88	149
186	88	148
187	89	148
188	89	147
189	90	147
190	90	146
191	91	146
192	91	145
193	92	145
194	92	144
195	93	144
196	93	143
197	94	143
198	94	142
199	94	142
200	95	141
201	95	141
202	96	141
203	96	140
204	97	140
205	97	139
206	98	139
207	98	138
208	99	138
209	99	137
210	100	137
211	100	136
212	101	136
213	101	135
214	102	135
215	102	134
216	103	134
217	103	133
218	104	133
219	104	132
220	104	132
221	105	132
