iter	RMSE
0	8.759774482
1	8.130715212
2	7.482920303
3	6.955080826
4	6.392615387
5	5.978226347
6	5.5273015
7	5.130024671
8	4.772240188
9	4.473317174
10	4.213033085
11	3.936427156
12	3.706336386
13	3.528926167
14	3.399247696
15	3.233599671
16	3.067172322
17	2.91894266
18	2.796879282
19	2.680241287
20	2.551323217
21	2.468041539
22	2.374494164
23	2.319582563
24	2.246661959
25	2.203137457
26	2.168998149
27	2.130566358
28	2.104201837
29	2.064434427
30	2.016249023
31	1.982386948
32	1.930426285
33	1.902300214
34	1.860887874
35	1.831393503
36	1.796409492
37	1.768974373
38	1.742895523
39	1.72586117
40	1.707800529
41	1.683387683
42	1.647901014
43	1.613486079
44	1.604015163
45	1.593210072
46	1.579307499
47	1.557379973
48	1.536874639
49	1.523539532
50	1.508589165
51	1.456474694
52	1.441090367
53	1.427729963
54	1.420312513
55	1.409990015
56	1.387282933
57	1.382133998
58	1.351392157
59	1.340146463
60	1.331727472
61	1.323137002
62	1.315486911
63	1.292617947
64	1.28419884
65	1.277889365
66	1.256543828
67	1.250461483
68	1.239190774
69	1.212247473
70	1.200576508
71	1.192808402
72	1.164943206
73	1.161913006
74	1.15683722
75	1.150679276
76	1.142261939
77	1.132911649
78	1.118756114
79	1.114346984
80	1.111209234
81	1.103724825
82	1.092874249
83	1.083891283
84	1.069688005
85	1.065733885
86	1.061407757
87	1.052155006
88	1.04573662
89	1.032898435
90	1.024266081
91	1.008526145
92	0.9937261246
93	0.9800375926
94	0.9681971663
95	0.9580792205
96	0.9415409486
97	0.927135554
98	0.9149940111
99	0.9068963165
100	0.9011008623
101	0.887684966
102	0.8850063897
103	0.8807634839
104	0.8698144072
105	0.8600868384
106	0.850451882
107	0.8383529595
108	0.828798502
109	0.8202104471
110	0.8120690148
111	0.8027923382
112	0.7950547022
113	0.79099717
114	0.7833524312
115	0.7735996965
116	0.7671323202
117	0.7585550683
118	0.7526028101
119	0.7471284791
120	0.7444199827
121	0.7363392521
122	0.7279170844
123	0.725109934
124	0.7205200506
125	0.7131265517
126	0.7074231695
127	0.7008495531
128	0.69149996
129	0.6892283274
130	0.6860965162
131	0.6797977702
132	0.6750002454
133	0.6717662177
134	0.6643634895
135	0.6604657589
136	0.6574428771
137	0.6551276939
138	0.6503372066
139	0.6461601187
140	0.6409338652
141	0.6339398971
142	0.6272195503
143	0.6246189146
144	0.6199648954
145	0.6166108965
146	0.6125120068
147	0.6094065693
148	0.607720898
149	0.602976381
150	0.5993223894
151	0.5960967005
152	0.5917448646
153	0.5868720916
154	0.5825825235
155	0.5797142357
156	0.5754113967
157	0.5712868877
158	0.5666650839
159	0.562911844
160	0.5599879874
161	0.5565384171
162	0.5542352106
163	0.5519240712
164	0.548590338
165	0.5458691208
166	0.5442490107
167	0.5415911652
168	0.539693375
169	0.5370781971
170	0.5339776464
171	0.5301690541
172	0.5289541573
173	0.5258835139
174	0.5223832696
175	0.5207006083
176	0.5176742417
177	0.5152017313
178	0.5137234717
179	0.5119381432
180	0.5097951915
181	0.5078880499
182	0.5061731028
183	0.5051408691
184	0.5035317139
185	0.5002710215
186	0.4973597644
187	0.4950144406
188	0.4924528504
189	0.489184285
190	0.4871240971
191	0.4840932753
192	0.4817428333
193	0.480749613
194	0.4784846487
195	0.4774013624
196	0.4757182886
197	0.4736379474
198	0.4716242914
199	0.4701750524
200	0.4693872122
201	0.4680113436
202	0.465770882
203	0.463017945
204	0.459953503
205	0.4586777697
206	0.4569569273
207	0.4560743082
208	0.4541311555
209	0.4514016392
210	0.4499042642
211	0.4487186305
212	0.4460732379
213	0.4430476217
214	0.4416470766
215	0.4393501623
216	0.4380392397
217	0.4364785061
218	0.4352859999
219	0.4328321582
220	0.4310834657
221	0.4290843495
222	0.4281393285
223	0.4255172297
224	0.42364156
225	0.4219687267
226	0.4204264156
227	0.4175341299
228	0.4143761272
229	0.4134415898
230	0.4127171358
231	0.4116720752
232	0.4106368456
233	0.4096016777
234	0.4075902153
235	0.4066040873
236	0.4043733155
237	0.4026843639
238	0.4009294936
239	0.4000615679
240	0.3986018287
241	0.3974028492
242	0.39669532
243	0.3948076394
244	0.3929109082
245	0.3910209438
246	0.3903389902
247	0.3894720417
248	0.3881201765
249	0.3867410298
250	0.3849085347
251	0.3839820217
252	0.3826666019
253	0.3814057403
254	0.3796676556
255	0.3784000789
256	0.3769260103
257	0.3745384879
258	0.3738808092
259	0.3727411166
260	0.3719852394
261	0.3713118598
262	0.3694531381
263	0.3674563351
264	0.3662767396
265	0.3648941765
266	0.3628241415
267	0.3619158241
268	0.3600351921
269	0.3594767945
270	0.3588157475
271	0.3571622492
272	0.3561922538
273	0.3551449148
274	0.3542608321
275	0.3522706327
276	0.3511916521
277	0.3498855356
278	0.3490553748
279	0.3482137496
280	0.3470349264
281	0.3461643809
282	0.3453888795
283	0.3449059999
284	0.3428551502
285	0.340804731
286	0.3396791399
287	0.3386710354
288	0.3360942198
289	0.3347418799
290	0.333899681
291	0.3320996065
292	0.3303774415
293	0.3296870504
294	0.327825876
295	0.3268901862
296	0.3254664372
297	0.323895168
298	0.3225324399
299	0.321369012
