iter	Passed	Remaining
0	0	272
1	1	263
2	2	254
3	2	211
4	3	203
5	3	180
6	4	179
7	4	178
8	5	179
9	6	179
10	6	170
11	7	173
12	7	175
13	8	170
14	8	164
15	9	164
16	9	165
17	11	178
18	12	177
19	12	175
20	13	174
21	13	176
22	14	175
23	14	172
24	15	172
25	16	177
26	17	174
27	17	173
28	18	171
29	18	168
30	19	167
31	19	166
32	20	169
33	21	170
34	22	170
35	23	169
36	23	168
37	24	167
38	24	167
39	25	166
40	26	167
41	27	166
42	27	166
43	28	165
44	28	164
45	29	164
46	31	167
47	31	166
48	32	166
49	33	165
50	34	166
51	34	166
52	35	165
53	36	165
54	37	165
55	37	165
56	38	165
57	39	163
58	40	163
59	41	165
60	42	165
61	43	165
62	44	165
63	44	165
64	45	164
65	46	164
66	47	163
67	47	162
68	48	162
69	49	161
70	49	160
71	50	160
72	51	159
73	51	158
74	52	157
75	53	156
76	53	156
77	54	155
78	55	154
79	55	153
80	56	153
81	58	154
82	58	153
83	59	152
84	60	152
85	61	151
86	61	151
87	62	150
88	63	149
89	63	148
90	64	148
91	65	147
92	65	146
93	66	145
94	67	144
95	67	144
96	68	143
97	69	142
98	69	141
99	70	141
100	71	140
101	72	140
102	73	141
103	74	140
104	75	139
105	75	139
106	76	138
107	77	137
108	77	136
109	78	136
110	79	135
111	80	134
112	81	134
113	81	133
114	82	132
115	82	131
116	83	130
117	84	129
118	84	129
119	85	128
120	86	128
121	87	128
122	88	127
123	89	126
124	89	125
125	90	124
126	91	124
127	91	123
128	92	122
129	93	122
130	94	121
131	94	120
132	95	119
133	95	118
134	97	118
135	97	117
136	98	117
137	98	116
138	99	115
139	101	115
140	101	114
141	102	113
142	102	113
143	104	112
144	105	112
145	105	111
146	106	110
147	106	109
148	107	109
149	108	108
150	109	107
151	109	106
152	110	106
153	111	105
154	112	104
155	112	104
156	113	103
157	115	103
158	119	105
159	120	105
160	120	104
161	121	103
162	122	102
163	122	101
164	123	100
165	124	100
166	124	99
167	125	98
168	126	97
169	126	96
170	127	96
171	128	95
172	129	94
173	130	94
174	130	93
175	131	92
176	132	91
177	132	90
178	133	90
179	134	89
180	134	88
181	135	87
182	136	87
183	136	86
184	137	85
185	138	84
186	138	83
187	139	82
188	139	82
189	140	81
190	140	80
191	141	79
192	142	78
193	142	77
194	143	77
195	143	76
196	144	75
197	144	74
198	145	73
199	146	73
200	146	72
201	147	71
202	147	70
203	148	69
204	148	68
205	149	68
206	149	67
207	150	66
208	150	65
209	151	64
210	151	64
211	152	63
212	152	62
213	153	61
214	153	60
215	154	60
216	155	59
217	155	58
218	156	57
219	156	57
220	157	56
221	158	55
222	158	54
223	159	54
224	160	53
225	160	52
226	161	51
227	162	51
228	163	50
229	163	49
230	164	49
231	165	48
232	165	47
233	166	46
234	167	46
235	168	45
236	168	44
237	169	44
238	170	43
239	170	42
240	172	42
241	173	41
242	173	40
243	174	40
244	175	39
245	176	38
246	176	37
247	177	37
248	178	36
249	178	35
250	179	35
251	180	34
252	180	33
253	181	32
254	183	32
255	184	31
256	184	30
257	185	30
258	186	29
259	187	28
260	187	28
261	188	27
262	188	26
263	189	25
264	190	25
265	191	24
266	191	23
267	192	22
268	193	22
269	193	21
270	195	20
271	196	20
272	197	19
273	197	18
274	198	18
275	199	17
276	199	16
277	200	15
278	201	15
279	202	14
280	202	13
281	203	12
282	204	12
283	204	11
284	205	10
285	206	10
286	206	9
287	207	8
288	208	7
289	208	7
290	209	6
291	210	5
292	210	5
293	211	4
294	212	3
295	213	2
296	213	2
297	215	1
298	215	0
299	216	0
